,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
653,In-depth Cultural,14 Days Holiday All Over Egypt (9 destinations)," Cairo, Giza, Aswan, Kom Ombo, Edfu, Luxor, Sharm el-Sheikh, Alexandria ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,14 days,1.533,160345
654,River Cruise,MS Mayfair Nile Cruise 3 Nights From Aswan," Aswan, Philae, Kom Ombo, Edfu, Esna, Luxor, Valley of the Kings, Valley of the Queens+1 more", 3 to 120 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Sun Pyramid Tours,4 days,976,188626
655,In-depth Cultural,Kingdom of Felucca Cruise Tour," Cairo, Giza, Aswan, Kom Ombo, Edfu, Luxor ", 1 to 85 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,7 days,727,226511
656,In-depth Cultural,6 Days Wonders of Ancient Egypt," Cairo, Luxor, Alexandria ", 2 to 80 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Agate Travel,6 days,2.270,182920
657,Explorer,Pharaohs and Beaches - 13 Days," Cairo, Giza, Aswan, Luxor, Hurghada ", 4 to 65 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,13 days,3.089,110594
658,Active Adventure,3 DAYS 2 NIGHTS TRAVEL PACKAGE TO ASWAN & LUXOR FROM CAIRO BY FLIGHTS," Cairo, Aswan, Luxor ", 4 to 90 ,"Family, Group, Partially Guided, Christmas & New Year+2 more",Imperial Egypt,3 days,613,162002
659,Explorer,8-Day Best Nile Cruise Tour with Cairo and Alexandria by Plane," Cairo, Aswan, Abu Simbel, Kom Ombo, Edfu, Luxor, Alexandria ", 2 to 80 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Agate Travel,8 days,2.279,202776
660,Explorer,5 Days Cairo Tour with Over Day Alexandria," Cairo, Alexandria ", 18 to 99 ,"Group, Partially Guided, Christmas & New Year+1 more",Remaz Tours GmbH,5 days,972,237035
661,In-depth Cultural,14 Days Cairo & Hurghada and Nile Cruise to Luxor and Aswan (including Komombo)," Cairo, Aswan, Edfu, Kom Ombo, Luxor, Hurghada ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,14 days,1.436,177620
662,Sightseeing,Egypt Undiscovered," Cairo, Giza, Minya, Abydos, Luxor, Alexandria ", 2 to 75 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Your Egypt Tours,14 days,7.259,110878
663,River Cruise,Package 4 Days 3 Nights Aswan to Luxor Tour by MS Mayfair Nile Cruise," Aswan, Philae, Kom Ombo, Edfu, Esna, Luxor, Valley of the Kings ", 3 to 100 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Sun Pyramid Tours,4 days,887,142589
664,Sightseeing,Highlights Of Egypt," Cairo, Giza, Aswan, Luxor, Alexandria, Siwa Oasis ", 4 to 65 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Your Egypt Tours,14 days,4.541,110472
665,River Cruise,3 NIGHTS / 4 DAYS AT SALIMA CRUISE FROM ASWAN TO LUXOR," Aswan, Philae, Kom Ombo, Edfu, Esna, Luxor, Valley of the Kings, Valley of the Queens+1 more", 1 to 100 ,"Family, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Sun Pyramid Tours,4 days,709,203529
666,Explorer,"14 Days Cairo, Alexandria, Nile Cruise & El Bahariya Oasis, Sharm"," Cairo, Luxor, Edfu, Kom Ombo, Aswan, Sharm el-Sheikh, Alexandria, Bahariya Oasis, White Desert+1 more", 1 to 98 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Ancient Egypt Tours,14 days,2.180,227116
667,Explorer,05 Days Tour St. Catherine and Cairo," Taba, St. Catherine, Cairo ", 18 to 99 ,Christmas & New Year,Remaz Tours GmbH,5 days,721,237058
668,In-depth Cultural,"12 Days Cairo, Sharm El Sheikh & Nile Cruise by Sleeper Train (8 destinations)"," Cairo, Giza, Aswan, Edfu, Kom Ombo, Luxor, Sharm el-Sheikh ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,12 days,1.301,177136
669,In-depth Cultural,10 Days tour Package Egypt and Red sea (4 destinations)," Cairo, Aswan, Hurghada ", 2 to 90 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Marsa Alam Tours,10 days,2.180,198906
670,In-depth Cultural,Egypt Exotic Sightseeing Package," Cairo, Giza, Aswan, Luxor, Alexandria, El Alamein, Siwa Oasis ", 12 to 65 ,"Private, Fully Guided, Sightseeing, Christmas & New Year+2 more",Your Egypt Tours,14 days,4.541,110867
671,In-depth Cultural,"15 Days Cairo, Alexandria, Nile Cruise, Aswan & Hurghada (including Komombo)"," Cairo, Giza, Alexandria, Aswan, Kom Ombo, Edfu, Luxor, Hurghada ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,15 days,1.479,178200
672,Explorer,Egypt Family Tour," Cairo, Aswan, Abu Simbel, Luxor, Hurghada ", 2 to 80 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Agate Travel,12 days,2.534,202656
673,In-depth Cultural,"Luxury Cairo, Nile Cruise and Sharm El Sheikh Holiday- Discover Egypt 12 Days"," Cairo, Aswan, Kom Ombo, Luxor, Sharm el-Sheikh ", 1 to 75 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Look at Egypt Tours ,12 days,2.009,126460
674,In-depth Cultural,Cairo City Stay - 4 days," Cairo, Giza ", 5 to 99 ,"Family, Private, Partially Guided, Historical, Christmas & New Year+3 more",On The Go Tours,4 days,445,228160
675,In-depth Cultural,"Discover Cairo, Nile Cruise and Sharm El Sheikh Holiday 12 Days 5 Stars Package"," Cairo, Luxor, Edfu, Kom Ombo, Aswan, Sharm el-Sheikh ", 2 to 75 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Look at Egypt Tours ,12 days,1.879,158977
676,In-depth Cultural,"12 Days Cairo, Nile Cruise & Hurghada Vacation (including Kom Ombo)"," Cairo, Giza, Aswan, Kom Ombo, Edfu, Luxor, Hurghada ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,12 days,1.394,160228
677,River Cruise,Sonesta St. George Nile Cruise (from Aswan to Luxor)," Aswan, Philae, Kom Ombo, Edfu, Esna, Valley of the Kings, Valley of the Queens, Luxor+1 more", 3 to 100 ,"Family, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Sun Pyramid Tours,4 days,1.129,145786
678,Sailing,Movenpick Prince Abbass Lake Cruise," Abu Simbel, Aswan ", 3 to 100 ,"Family, Group, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,4 days,617,145988
679,Explorer,Luxury Tour in Egypt-9 Day," Cairo, Alexandria, Aswan, Kom Ombo, Edfu, Luxor ", 1 to 99 ,"Family, Christmas & New Year+1 more",Itaca Holiday,9 days,1.045,243100
680,In-depth Cultural,Egyptian Family Adventure," Cairo, Giza, Aswan, Philae, Abu Simbel, Luxor, Valley of the Kings, Hurghada ", 8 to 95 ,"Active Adventure, Family, Private, Group, Fully Guided+2 more",Encounters Travel,12 days,2.345,76493
681,River Cruise,Secrets of Egypt & the Nile 2023," Cairo, Luxor, Valley of the Kings, Edfu, Kom Ombo, Aswan, Philae, Elephantine Island, Esna, Qena+3 more", 12 to 90 ,"Group, Fully Guided, Historical+1 more",AmaWaterways,8 days,5.521,233558
682,River Cruise,4 DAYS 3 NIGHTS CRUISE FROM ASWAN TO LUXOR," Aswan, Kom Ombo, Edfu, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Ancient Egypt Tours,4 days,401,160829
683,River Cruise,Nile Cruise Package  4 Days/ 03 Nights  Aswan / Luxor," Aswan, Kom Ombo, Edfu, Luxor ", 18 to 60 ,"Private, Fully Guided, Sightseeing, Christmas & New Year+2 more",Itaca Holiday,4 days,347,144972
684,Explorer,7-Day Best of Egypt: Cairo And Nile Cruise," Cairo, Aswan, Kom Ombo, Edfu, Luxor ", 18 to 70 ,"Private, Group, Christmas & New Year+1 more",Intertrips,7 days,1.362,241056
685,Explorer,10-Day Ancient Egypt Tour with Nile Cruise," Cairo, Saqqarah, Luxor, Valley of the Kings, Valley of the Queens, Kom Ombo, Edfu, Aswan, Philae, Abu Simbel, Alexandria+5 more", 10 to 80 ,"Family, River Cruise, Group, Partially Guided, Historical, Christmas & New Year+4 more",Desertbrise Travel,10 days,2.090,168452
686,Explorer,4 Days Pyramids and Old Cairo," Cairo, Giza ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,311,145681
687,In-depth Cultural,"Best Cairo Sightseeing Tour, Discover Cairo & The Pyramids 4 Days With Private Guide & Hotels", Cairo , 1 to 75 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Look at Egypt Tours ,4 days,507,189536
688,In-depth Cultural,"Golden Tour  ""4 Days Cairo and Luxor "" Tour Package"," Cairo, Giza, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,209,191827
689,Active Adventure,Explore Egypt Trip, Cairo , 18 to 90 ,"Group, Partially Guided, Christmas & New Year+1 more",Culture Holidays Private Limited,7 days,1.307,164755
690,Explorer,3 Days 2 Nights –  From Cairo to the White Desert &  Black Desert & Farafra Oasis," Cairo, White Desert, Bahariya Oasis ", 1 to 99 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Ancient Egypt Tours,3 days,136,232184
691,In-depth Cultural,3 Days: Best Cairo Private Tour," Cairo, Giza ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,3 days,203,169903
692,In-depth Cultural,4 Days Pyramids & Old Cairo," Cairo, Giza ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,216,170301
693,In-depth Cultural,Cairo Talks -  4 Days Guided tour to Cairo and Giza," Cairo, Giza ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,4 days,191,159157
694,In-depth Cultural,Discover Cairo and Alexandria With Private Guide- Free Airport Transfers," Cairo, Alexandria ", 1 to 80 ,"Family, Custom, Private, Fully Guided, Historical, Christmas & New Year+3 more",Look at Egypt Tours ,3 days,331,162801
695,In-depth Cultural,4 Days Cairo and Luxor (3 destinations)," Cairo, Giza, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,583,147074
696,In-depth Cultural,Cairo Travel Package for 4 Days 3 Nights," Cairo, Giza ", 1 to 100 ,"Family, Private, Fully Guided, Coach / Bus, Sightseeing, Historical, Christmas & New Year+5 more",Marko Egypt Tours,4 days,86,179048
697,In-depth Cultural,Best Cairo Tour Discover Historical Cairo, Cairo , 1 to 76 ,"Family, Custom, Private, Fully Guided, Explorer, Christmas & New Year+3 more",Look at Egypt Tours ,4 days,461,136599
698,River Cruise,Sonesta St. George Easter Cruise," Luxor, Valley of the Kings, Esna, Edfu, Kom Ombo, Philae, Aswan ", 3 to 100 ,"Family, Private, Group, Fully Guided, Explorer, Christmas & New Year+3 more",Sun Pyramid Tours,5 days,1.806,145790
699,Active Adventure,Package 6 Days 5 Nights to Cairo & Desert Adventure," Cairo, Giza, Bahariya Oasis, White Desert ", 3 to 100 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,6 days,560,142859
700,In-depth Cultural,"16 Days Cairo, Alexandria, Nile Cruise & Sharm El Sheikh (12 destinations)"," Cairo, Giza, Saqqarah, Luxor, Edfu, Kom Ombo, Aswan, Sharm el-Sheikh, Alexandria ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,16 days,1.766,160625
701,Sailing,Abu Simbel with 4 Day - 3 Night In  Stander 4* Superior Or Stander 5* Nile Cruise From Aswan & Luxor," Aswan, Kom Ombo, Edfu, Valley of the Kings, Luxor ", 5 to 85 ,"Family, Private, Fully Guided, Christmas & New Year+2 more", Ibermundo Travel Egypt,4 days,539,223967
702,Explorer,3 Days Trip to Aswan Sightseeing and Abu Simbel Temples," Aswan, Abu Simbel ", 1 to 99 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Ancient Egypt Tours,3 days,327,232315
703,In-depth Cultural,Best of Cairo & Alexandria," Cairo, Giza, Alexandria ", 5 to 85 ,"Family, Private, Partially Guided, Christmas & New Year+2 more", Ibermundo Travel Egypt,4 days,565,155457
704,,Best Cairo Tour with Dinner Cruise & Pyramids Sound & Light Show 2 Days With Private Guide, Cairo , 1 to 70 ,"inations
 Cairo Age Range
 1 to 70 year olds ",Look at Egypt Tours ,2 days,280,158713
705,In-depth Cultural,03 Days Egypt package, Cairo , 18 to 85 ,"Private, Group, Partially Guided, Historical, Christmas & New Year+3 more",Egypt Online Tour,3 days,391,145418
706,In-depth Cultural,4 Days Cairo & Luxor Tour Package, Cairo , 18 to 80 ,"Group, Partially Guided, Historical, Christmas & New Year+2 more",Egypt Online Tour,4 days,590,146141
707,Explorer,"07 days Egypt, Cairo & Nile Cruise by Flight", Cairo , 18 to 80 ,"Private, Group, Partially Guided, Historical, Christmas & New Year+3 more",Egypt Online Tour,7 days,1.090,179373
708,In-depth Cultural,Abu Simbel Sun Festival Oct 2023 - 11 days," Cairo, Giza, Saqqarah, Aswan, Abu Simbel, Kom Ombo, Luxor, Valley of the Kings ", 18 to 80 ,"Group, Fully Guided, Explorer+1 more",On The Go Tours,11 days,1.575,8343
709,In-depth Cultural,4 Days Cairo and Luxor (4 destinations)," Cairo, Giza, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,552,170343
710,In-depth Cultural,"Marvel Cairo - 3 Days Guided Tours to Giza Pyramids , Sphinx , Egyptian and Civilization Museums"," Cairo, Giza ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,3 days,173,160058
711,In-depth Cultural,"3 Days Economic Tour In Guiza, Cairo and Alexandria"," Giza, Cairo, Alexandria ", 2 to 80 ,"Family, Custom, Private, Fully Guided, Christmas & New Year+2 more", Ibermundo Travel Egypt,3 days,575,141500
712,In-depth Cultural,4 Days Aswan and Cairo," Aswan, Cairo ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,522,162820
713,Active Adventure,From Luxor or Aswan: Budget 4 days Nile cruise," Luxor, Aswan ", 2 to 99 ,Christmas & New Year,ToBadaa,4 days,300,234158
714,Active Adventure,Egypt Pyramids and Nile Cruise," Cairo, Aswan, Philae, Kom Ombo, Edfu, Esna, Valley of the Kings, Valley of the Queens, Luxor+2 more", 1 to 100 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,8 days,1.454,145663
715,,Short Stay 2 Day Cairo Tour (Hotel 5* - Airport Private Arrival & Transfer)," Cairo, Giza ", 4 to 80 ,"Family, Custom, Private, Fully Guided, Christmas & New Year+2 more", Ibermundo Travel Egypt,2 days,195,149760
716,In-depth Cultural,4 Days Luxor and Cairo," Luxor, Cairo ", 1 to 99 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,552,162817
717,Explorer,Festive King Tut with Cruise - 10 days," Cairo, Giza, Saqqarah, Aswan, Philae, Elephantine Island, Kom Ombo, Luxor, Valley of the Kings+1 more", 18 to 80 ,"River Cruise, Group, Fully Guided, Historical, Christmas & New Year+3 more",On The Go Tours,10 days,2.235,171632
718,Explorer,4 Days Pyramids and El Bahariya Oasis," Cairo, Giza, Bahariya Oasis ", 1 to 99 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Ancient Egypt Tours,4 days,472,232318
719,Active Adventure,Package 8 Days 7 Nights Road to The Nile”Luxor & Aswan” at Christmas Holidays," Cairo, Giza, Luxor, Edfu, Kom Ombo, Aswan ", 12 to 100 ,"Private, Group, Partially Guided, Christmas & New Year+2 more",Sun Pyramid Tours,8 days,2.573,142400
720,In-depth Cultural,Egypt Luxury Honeymoon Vacation," Cairo, El Alamein, Siwa Oasis, Abu Simbel, Aswan, Philae, Kom Ombo, Edfu, Dendera, Luxor, Valley of the Kings, Hurghada+3 more", 3 to 100 ,"Family, Private, Honeymoon, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,14 days,8.367,146133
721,Active Adventure,Egypt Spiritual Tour," Cairo, Aswan, Philae, Kom Ombo, Edfu, Luxor, Valley of the Kings, Dendera, Abydos, Giza, Saqqarah+2 more", 3 to 99 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,12 days,2.179,147082
722,Explorer,"From Cairo 6 Days Package To Fayoum Oasis, White Desert and Bahariya Oasis"," Cairo, Faiyum, Bahariya Oasis, White Desert, Dakhla, Kharga Oasis, Luxor ", 1 to 99 ,"Family, Private, Fully Guided, In-depth Cultural, Christmas & New Year+3 more",Sun Pyramid Tours,6 days,804,228415
723,In-depth Cultural,Abu Simbel Sun Festival Oct 2023 with Cruise - 11 days," Cairo, Giza, Saqqarah, Aswan, Philae, Abu Simbel, Kom Ombo, Luxor, Valley of the Kings+1 more", 18 to 80 ,"Group, Fully Guided, Explorer+1 more",On The Go Tours,11 days,1.945,112070
724,In-depth Cultural,"Package 8 Days 7 Nights Cairo & Xmas, NY Nile Cruise by Air"," Cairo, Giza, Aswan, Philae, Kom Ombo, Edfu, Esna, Valley of the Queens, Valley of the Kings, Luxor+2 more", 3 to 100 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,8 days,2.554,142570
725,In-depth Cultural,Pyramids & Nile Cruise by Train," Cairo, Giza, Aswan, Philae, Kom Ombo, Edfu, Esna, Valley of the Kings, Luxor ", 12 to 100 ,"Private, Fully Guided, Christmas & New Year+1 more",Sun Pyramid Tours,8 days,1.121,145818
726,Sailing,"Lake Nasser Cruise ""4 days / 3nights"""," Abu Simbel, Aswan ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,915,161191
727,In-depth Cultural,"10-Day Cairo, Luxor & Hurghada Tour"," Cairo, Giza, Aswan, Kom Ombo, Luxor, Hurghada ", 10 to 80 ,"Family, River Cruise, Private, Partially Guided, Explorer, Christmas & New Year+4 more",Desertbrise Travel,10 days,1.900,168445
728,In-depth Cultural,"6 Days Cairo, Luxor & Aswan Tour", Cairo , 18 to 80 ,"Group, Partially Guided, Historical, Christmas & New Year+2 more",Egypt Online Tour,6 days,863,182190
729,Explorer,"Journey to Cairo with Nile Cruise 8 days (2+Travelers, 4* Hotel)"," Cairo, Luxor, Edfu, Kom Ombo, Aswan ", 1 to 99 ,"Family, River Cruise, Group, Fully Guided, Historical, Christmas & New Year+4 more",Booking Tours,8 days,1.363,222152
730,In-depth Cultural,"Classical Egypt - 4 Days Sightseeing Cairo , Giza Pyramids , Sightseeing Alexandria"," Cairo, Giza, Alexandria ", 1 to 99 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,218,191813
731,Explorer,4 Days Trip to Aswan Sightseeing and Abu Simbel Temples," Aswan, Abu Simbel ", 1 to 99 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Ancient Egypt Tours,4 days,382,232348
732,Explorer,"9 Days Cairo, Alexandria & Egypt Nile Cruise Packages By Flight:", Cairo , 18 to 80 ,"Private, Group, Partially Guided, Historical, Christmas & New Year+3 more",Egypt Online Tour,9 days,1.263,179429
733,In-depth Cultural,5 Days Private Package To Cairo & Giza & Alexandria, Cairo , 1 to 100 ,"Private, Fully Guided, Christmas & New Year+1 more",Marko Egypt Tours,5 days,227,241490
734,Active Adventure,Package 15 Days 14 Nights Holy Family Tour in Egypt," Cairo, Giza, Minya, Luxor, Edfu, Kom Ombo, Aswan ", 12 to 100 ,"Private, Group, Partially Guided, Christmas & New Year+2 more",Sun Pyramid Tours,15 days,2.772,142387
735,In-depth Cultural,5 Day Cairo Vacation Package," Cairo, Giza, Alexandria ", 1 to 100 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,5 days,531,145665
736,In-depth Cultural,"19 Days Cairo, Desert Safari to Luxor, Nile Cruise, Hurghada & Alexandria"," Cairo, Bahariya Oasis, White Desert, Luxor, Kom Ombo, Edfu, Aswan, Hurghada, Alexandria, Giza+2 more", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,19 days,2.281,160747
737,River Cruise,The Oberoi Philae Nile Cruise," Luxor, Valley of the Kings, Esna, Edfu, Kom Ombo, Philae, Aswan ", 3 to 120 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Sun Pyramid Tours,5 days,3.464,188662
738,Active Adventure,8 Day: Luxor Nile Cruise & Cairo," Luxor, Edfu, Kom Ombo, Aswan, Philae, Cairo ", 3 to 100 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,8 days,1.235,145672
739,Explorer,Cairo – Luxor and Aswan by Nile Cruise," Cairo, Giza, Aswan, Edfu, Kom Ombo, Esna, Luxor ", 10 to 80 ,"Family, River Cruise, Group, Partially Guided, Historical, Christmas & New Year+4 more",Desertbrise Travel,7 days,1.700,168391
740,In-depth Cultural,3 days 2 nights Egypt holiday package includes Alexandria and Cairo," Cairo, Giza, Alexandria ", 1 to 100 ,"Family, Private, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Marko Egypt Tours,3 days,114,181726
741,River Cruise,"Journey to Cairo with Nile Cruise 8 days (Single, 5* Hotel)"," Cairo, Luxor, Edfu, Kom Ombo, Aswan ", 1 to 99 ,"Family, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Booking Tours,8 days,2.780,222154
742,Festival & Events,"Relaxation Couple Private Package to Cairo, Luxor, Aswan and Hurghada"," Cairo, Luxor, Esna, Edfu, Kom Ombo, Philae, Aswan, Hurghada ", 1 to 99 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,12 days,2.716,227043
743,In-depth Cultural,Nubian Honeymoon Package," Cairo, Giza, Saqqarah, Philae, Kom Ombo, Aswan ", 3 to 100 ,"Family, Private, Honeymoon, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,7 days,789,147069
744,Explorer,"4 Days 3 Nights – From Cairo ""  White Desert - Black Desert """," Cairo, White Desert ", 1 to 99 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Ancient Egypt Tours,4 days,164,232319
745,In-depth Cultural,"Full Four Day Discovering  All Cairo, Giza, Alexandria And Luxor"," Cairo, Giza, Alexandria, Luxor ", 4 to 80 ,"Family, Custom, Private, Partially Guided, Christmas & New Year+2 more", Ibermundo Travel Egypt,4 days,499,147710
746,In-depth Cultural,4 Days Pyramids and El baharia Oasis," Cairo, Giza, Bahariya Oasis ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,472,170355
747,In-depth Cultural,Accessible Short Break to Cairo," Cairo, Giza, Alexandria ", 3 to 100 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,5 days,1.009,145996
748,In-depth Cultural,4 Days Pyramids and El baharia Oasis," Cairo, Giza, Bahariya Oasis ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,500,147439
749,In-depth Cultural,"19 Days Cairo, Desert Safari to Luxor, Nile Cruise, Sharm El Sheikh & Alexandria"," Cairo, Giza, Bahariya Oasis, White Desert, Farafra, Kharga Oasis, Luxor, Kom Ombo, Edfu, Aswan, Sharm el-Sheikh, Alexandria+4 more", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,19 days,2.184,160751
750,Explorer,PACKAGE 7 DAYS 6 NIGHTS TO PYRAMIDS & THE NILE AT XMAS & NY 2021," Cairo, Giza, Luxor, Esna, Edfu, Philae, Kom Ombo, Aswan ", 3 to 100 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Sun Pyramid Tours,7 days,2.615,203157
751,Explorer,"Journey to Cairo with Nile Cruise 8 days (2+Travelers, 5* Hotel)"," Cairo, Luxor, Edfu, Kom Ombo, Aswan ", 1 to 99 ,"Family, River Cruise, Group, Fully Guided, Historical, Christmas & New Year+4 more",Booking Tours,8 days,1.771,222072
752,Explorer,4 Days Trip to Aswan & Edfu & Kom Ombo Temples," Aswan, Edfu, Kom Ombo ", 1 to 99 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Ancient Egypt Tours,4 days,382,232349
753,Active Adventure,"Package 12 Days 11 Nights Luxury Cairo, Luxor , Aswan & Red Sea"," Cairo, Giza, Aswan, Kom Ombo, Edfu, Luxor, Valley of the Kings, Hurghada ", 3 to 100 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,12 days,2.353,145035
754,In-depth Cultural,Budget Egypt tour package for 4 Days and 3 Nights," Cairo, Giza, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Egypt Tours Club,4 days,1.090,193580
755,Explorer,3 Days Trip to Luxor & Dendera and Abydos," Luxor, Abydos ", 1 to 99 ,Christmas & New Year,Ancient Egypt Tours,3 days,318,232237
756,In-depth Cultural,"Package 15 Days 14 Nights to Pyramids, Luxor , Aswan & Oasis"," Cairo, Giza, Siwa Oasis, Bahariya Oasis, White Desert, Farafra, Kharga Oasis, Luxor, Valley of the Queens, Valley of the Kings, Esna, Edfu, Kom Ombo, Philae, Aswan+8 more", 3 to 100 ,"Active Adventure, Family, Private, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,15 days,4.021,142352
757,In-depth Cultural,"Egypt Short Trip , Cairo & Alexandria"," Cairo, Giza, Saqqarah, Alexandria ", 10 to 80 ,"Family, Group, Partially Guided, Explorer, Historical, Christmas & New Year+4 more",Desertbrise Travel,5 days,855,168389
758,In-depth Cultural,"9 Days Cairo, Nile Cruise & Hurghada Tour", Cairo , 18 to 80 ,"Private, Group, Partially Guided, Historical, Christmas & New Year+3 more",Egypt Online Tour,9 days,1.090,172603
759,In-depth Cultural,Egypt Luxury Honeymoon Vacation," Cairo, El Alamein, Siwa Oasis, White Desert, Farafra, Dakhla, Kharga Oasis, Luxor, Aswan+1 more", 3 to 80 ,"Family, Custom, River Cruise, Honeymoon Safari, Private, Honeymoon, Partially Guided, Christmas & New Year+6 more",Sun Pyramid Tours,15 days,8.294,136400
760,Active Adventure,"Package 12 Day 11 Night to Pyramids, luxor, Aswan & Sharm El Sheikh"," Cairo, Giza, Aswan, Philae, Kom Ombo, Edfu, Esna, Valley of the Kings, Valley of the Queens, Luxor, Sharm el-Sheikh+3 more", 3 to 100 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,12 days,3.678,142351
